OrderID,ProductID,Quantity
10112,P0052,2
10113,P0014,3
10114,P0009,2
10115,P0089,3
10116,P0024,4
10117,P0054,4
10118,P0095,4
10119,P0017,2
10120,P0093,4
10121,P0005,4
10122,P0084,3
10123,P0030,3
10124,P0008,4
10125,P0050,3
10126,P0076,1
10127,P0048,2
10128,P0010,1
10129,P0055,5
10130,P0041,5
10131,P0063,3
10132,P0087,2
10133,P0012,1
10134,P0022,1
10135,P0015,3
10136,P0016,5
10137,P0071,3
10138,P0056,4
10139,P0007,1
10140,P0083,2
10141,P0009,4
10142,P0070,2
10143,P0011,5
10144,P0016,2
10145,P0086,5
10146,P0094,4
10147,P0017,5
10148,P0086,4
10149,P0091,5
10150,P0083,5
10151,P0100,3
10152,P0030,2
10153,P0087,1
10154,P0079,3
10155,P0078,4
10156,P0029,3
10157,P0026,5
10158,P0008,5
10159,P0024,2
10160,P0042,3
10161,P0046,5
10162,P0075,5
10163,P0096,3
10164,P0066,4
10165,P0099,4
10166,P0064,1
10167,P0075,4
10168,P0093,5
10169,P0018,2
10170,P0008,5
10171,P0055,2
10172,P0020,5
10173,P0029,3
10174,P0015,2
10175,P0037,2
10176,P0085,1
10177,P0044,2
10178,P0077,3
10179,P0056,3
10180,P0072,4
10181,P0085,1
10182,P0089,4
10183,P0065,4
10184,P0090,5
10185,P0078,3
10186,P0014,4
10187,P0003,4
10188,P0075,4
10189,P0091,5
10190,P0050,1
10191,P0082,5
10192,P0014,5
10193,P0074,5
10194,P0098,4
10195,P0052,2
10196,P0071,4
10197,P0007,1
10198,P0037,2
10199,P0046,5
10200,P0004,3
10201,P0045,5
10202,P0021,3
10203,P0012,3
10204,P0009,5
10205,P0019,2
10206,P0097,1
10207,P0007,1
10208,P0028,5
10209,P0055,3
10210,P0001,4
10211,P0067,2
10212,P0016,2
10213,P0052,3
10214,P0036,1
10215,P0100,1
10216,P0014,5
10217,P0089,3
10218,P0072,4
10219,P0099,2
10220,P0002,4
10221,P0033,4
10222,P0033,5
10223,P0096,4
10224,P0053,2
10225,P0006,4
10226,P0070,2
10227,P0090,5
10228,P0010,5
10229,P0089,4
10230,P0079,3
10231,P0064,3
10232,P0014,5
10233,P0033,5
10234,P0005,4
10235,P0100,4
10236,P0071,5
10237,P0031,1
10238,P0035,4
10239,P0055,5
10240,P0073,2
10241,P0042,2
10242,P0034,1
10243,P0036,1
10244,P0073,5
10245,P0046,1
10246,P0004,1
10247,P0052,1
10248,P0002,1
10249,P0076,3
10250,P0088,2
10251,P0095,5
10252,P0043,4
10253,P0065,4
10254,P0005,5
10255,P0053,1
10256,P0017,4
10257,P0089,2
10258,P0059,3
10259,P0034,1
10260,P0044,3
10261,P0051,4
10262,P0056,3
10263,P0077,5
10264,P0072,3
10265,P0029,1
10266,P0088,3
10267,P0080,5
10268,P0082,1
10269,P0070,5
10270,P0045,4
10271,P0074,4
10272,P0084,1
10273,P0006,1
10274,P0063,5
10275,P0034,1
10276,P0019,1
10277,P0078,3
10278,P0036,3
10279,P0011,5
10280,P0040,4
10281,P0019,2
10282,P0086,3
10283,P0080,2
10284,P0085,2
10285,P0003,4
10286,P0038,3
10287,P0080,5
10288,P0046,4
10289,P0059,4
10290,P0084,3
10291,P0057,2
10292,P0056,5
10293,P0023,3
10294,P0041,5
10295,P0025,2
10296,P0087,1
10297,P0098,3
10298,P0081,1
10299,P0069,4
10300,P0037,1
10301,P0059,5
10302,P0052,4
10303,P0097,2
10304,P0050,3
10305,P0078,1
10306,P0011,2
10307,P0077,2
10308,P0045,3
10309,P0025,2
10310,P0006,2
10311,P0013,3
10312,P0051,2
10313,P0037,4
10314,P0064,4
10315,P0018,3
10316,P0068,4
10317,P0081,4
10318,P0052,4
10319,P0016,4
10320,P0061,2
10321,P0038,3
10322,P0087,2
10323,P0092,4
10324,P0049,3
10325,P0067,5
10326,P0041,4
10327,P0075,3
10328,P0002,1
10329,P0018,2
10330,P0088,1
10331,P0050,1
10332,P0017,3
10333,P0078,5
10334,P0058,4
10335,P0050,5
10336,P0011,1
10337,P0016,3
10338,P0098,1
10339,P0050,4
10340,P0050,4
10341,P0018,1
10342,P0099,2
10343,P0093,5
10344,P0070,1
10345,P0052,4
10346,P0056,1
10347,P0002,5
10348,P0099,5
10349,P0025,1
10350,P0040,4
10351,P0077,3
10352,P0067,4
10353,P0017,4
10354,P0035,4
10355,P0052,5
10356,P0071,4
10357,P0077,3
10358,P0081,4
10359,P0087,2
10360,P0053,1
10361,P0062,4
10362,P0084,1
10363,P0006,2
10364,P0016,3
10365,P0051,2
10366,P0048,3
10367,P0049,4
10368,P0021,4
10369,P0064,5
10370,P0096,2
10371,P0063,1
10372,P0088,2
10373,P0038,2
10374,P0006,3
10375,P0021,2
10376,P0009,4
10377,P0047,5
10378,P0064,3
10379,P0017,2
10380,P0027,3
10381,P0012,3
10382,P0092,5
10383,P0019,4
10384,P0042,4
10385,P0019,4
10386,P0036,2
10387,P0023,3
10388,P0026,1
10389,P0044,4
10390,P0020,5
10391,P0044,1
10392,P0096,1
10393,P0050,4
10394,P0005,2
10395,P0001,5
10396,P0067,2
10397,P0042,5
10398,P0096,3
10399,P0067,4
10400,P0080,4
10401,P0040,3
10402,P0077,4
10403,P0050,1
10404,P0009,2
10405,P0058,4
10406,P0024,1
10407,P0014,3
10408,P0047,5
10409,P0008,5
10410,P0044,2
10411,P0099,4
10412,P0020,2
10413,P0002,1
10414,P0081,5
10415,P0047,4
10416,P0094,2
10417,P0030,4
10418,P0043,3
10419,P0026,4
10420,P0099,3
10421,P0012,3
10422,P0025,2
10423,P0093,5
10424,P0016,1
10425,P0066,5
10426,P0035,3
10427,P0048,1
10428,P0053,5
10429,P0003,3
10430,P0043,4
10431,P0079,4
10432,P0080,2
10433,P0030,1
10434,P0037,1
10435,P0085,4
10436,P0020,2
10437,P0032,4
10438,P0020,2
10439,P0017,1
10440,P0093,1
10441,P0092,3
10442,P0092,1
10443,P0016,4
10444,P0001,3
10445,P0078,1
10446,P0011,4
10447,P0019,5
10448,P0075,4
10449,P0035,1
10450,P0034,3
10451,P0096,5
10452,P0029,1
10453,P0093,1
10454,P0014,2
10455,P0036,3
10456,P0090,2
10457,P0083,4
10458,P0010,2
10459,P0036,5
10460,P0004,4
10461,P0069,3
10462,P0063,2
10463,P0066,4
10464,P0029,2
10465,P0034,5
10466,P0089,3
10467,P0026,5
10468,P0088,5
10469,P0082,4
10470,P0060,4
10471,P0062,4
10472,P0076,4
10473,P0098,1
10474,P0070,3
10475,P0020,3
10476,P0089,3
10477,P0039,5
10478,P0006,5
10479,P0097,5
10480,P0020,1
10481,P0013,4
10482,P0015,1
10483,P0055,2
10484,P0068,5
10485,P0019,5
10486,P0030,4
10487,P0012,5
10488,P0028,5
10489,P0063,1
10490,P0080,3
10491,P0073,3
10492,P0088,5
10493,P0096,2
10494,P0067,4
10495,P0011,1
10496,P0065,1
10497,P0014,2
10498,P0084,5
10499,P0002,2
10500,P0006,2
10501,P0088,1
10502,P0073,2
10503,P0050,2
10504,P0020,4
10505,P0040,5
10506,P0021,5
10507,P0053,2
10508,P0045,4
10509,P0060,3
10510,P0067,4
10511,P0099,1
10512,P0079,2
10513,P0097,1
10514,P0056,2
10515,P0028,4
10516,P0087,5
10517,P0043,5
10518,P0047,3
10519,P0065,1
10520,P0061,3
10521,P0058,4
10522,P0037,4
10523,P0100,1
10524,P0045,2
10525,P0017,5
10526,P0054,1
10527,P0028,5
10528,P0099,3
10529,P0090,2
10530,P0039,3
10531,P0065,1
10532,P0067,5
10533,P0069,3
10534,P0019,4
10535,P0026,1
10536,P0096,4
10537,P0097,4
10538,P0064,3
10539,P0081,3
10540,P0020,5
10541,P0041,5
10542,P0040,2
10543,P0038,2
10544,P0096,2
10545,P0024,3
10546,P0017,3
10547,P0082,2
10548,P0042,5
10549,P0026,3
10550,P0042,5
10551,P0015,4
10552,P0009,1
10553,P0060,4
10554,P0068,2
10555,P0087,1
10556,P0072,2
10557,P0097,2
10558,P0024,5
10559,P0071,2
10560,P0004,5
10561,P0043,2
10562,P0006,2
10563,P0032,3
10564,P0033,2
10565,P0044,5
10566,P0047,4
10567,P0030,5
10568,P0071,5
10569,P0095,4
10570,P0068,1
10571,P0024,3
10572,P0066,2
10573,P0061,3
10574,P0021,5
10575,P0001,4
10576,P0034,3
10577,P0057,4
10578,P0051,2
10579,P0061,4
10580,P0056,5
10581,P0049,3
10582,P0049,4
10583,P0091,3
10584,P0006,4
10585,P0069,3
10586,P0017,3
10587,P0070,3
10588,P0070,1
10589,P0064,4
10590,P0039,2
10591,P0042,5
10592,P0091,2
10593,P0090,1
10594,P0065,1
10595,P0058,1
10596,P0011,5
10597,P0093,3
10598,P0086,1
10599,P0017,5
10600,P0008,5
10601,P0081,1
10602,P0061,5
10603,P0041,4
10604,P0027,3
10605,P0010,4
10606,P0088,3
10607,P0028,3
10608,P0092,1
10609,P0050,3
10610,P0072,5
10611,P0047,1
10612,P0078,1
10613,P0025,3
10614,P0014,5
10615,P0048,1
10616,P0100,1
10617,P0097,1
10618,P0091,5
10619,P0018,5
10620,P0051,4
10621,P0017,4
10622,P0013,5
10623,P0085,4
10624,P0084,3
10625,P0005,3
10626,P0062,4
10627,P0038,4
10628,P0092,1
10629,P0011,5
10630,P0033,2
10631,P0034,4
10632,P0029,5
10633,P0001,5
10634,P0082,4
10635,P0016,4
10636,P0002,2
10637,P0050,4
10638,P0011,3
10639,P0036,4
10640,P0037,3
10641,P0046,2
10642,P0019,2
10643,P0076,2
10644,P0077,3
10645,P0049,4
10646,P0040,4
10647,P0046,3
10648,P0091,5
10649,P0060,4
10650,P0040,2
10651,P0035,2
10652,P0027,4
10653,P0028,5
10654,P0009,2
10655,P0077,2
10656,P0079,4
10657,P0062,2
10658,P0013,5
10659,P0016,1
10660,P0088,5
10661,P0047,1
10662,P0030,3
10663,P0030,1
10664,P0032,2
10665,P0036,2
10666,P0075,4
10667,P0058,3
10668,P0022,2
10669,P0080,5
10670,P0056,4
10671,P0079,2
10672,P0060,3
10673,P0004,3
10674,P0012,1
10675,P0004,3
10676,P0097,2
10677,P0006,1
10678,P0096,5
10679,P0027,3
10680,P0082,1
10681,P0039,3
10682,P0029,1
10683,P0038,3
10684,P0039,4
10685,P0077,2
10686,P0077,4
10687,P0064,1
10688,P0047,5
10689,P0095,4
10690,P0092,5
10691,P0070,4
10692,P0090,2
10693,P0046,5
10694,P0071,1
10695,P0092,3
10696,P0053,3
10697,P0081,5
10698,P0009,4
10699,P0094,4
10700,P0068,2
10701,P0068,4
10702,P0065,4
10703,P0012,1
10704,P0061,5
10705,P0066,5
10706,P0052,3
10707,P0007,5
10708,P0091,1
10709,P0017,5
10710,P0015,5
10711,P0047,1
10712,P0074,4
10713,P0076,3
10714,P0020,4
10715,P0064,2
10716,P0078,4
10717,P0033,4
10718,P0028,3
10719,P0059,2
10720,P0056,5
10721,P0029,4
10722,P0066,5
10723,P0017,5
10724,P0063,3
10725,P0037,5
10726,P0075,4
10727,P0006,3
10728,P0027,5
10729,P0028,5
10730,P0016,3
10731,P0021,3
10732,P0022,4
10733,P0024,1
10734,P0030,2
10735,P0078,1
10736,P0042,5
10737,P0034,5
10738,P0072,3
10739,P0006,3
10740,P0057,3
10741,P0002,5
10742,P0038,4
10743,P0058,1
10744,P0027,4
10745,P0088,2
10746,P0016,5
10747,P0040,3
10748,P0094,2
10749,P0095,3
10750,P0068,4
10751,P0028,3
10752,P0051,4
10753,P0072,4
10754,P0060,4
10755,P0040,3
10756,P0059,2
10757,P0061,4
10758,P0093,2
10759,P0064,1
10760,P0033,2
10761,P0001,2
10762,P0059,5
10763,P0003,3
10764,P0029,5
10765,P0052,4
10766,P0050,4
10767,P0053,3
10768,P0098,4
10769,P0046,1
10770,P0052,5
10771,P0002,1
10772,P0001,5
10773,P0087,5
10774,P0058,5
10775,P0049,4
10776,P0092,3
10777,P0018,3
10778,P0021,4
10779,P0071,5
10780,P0020,5
10781,P0016,2
10782,P0024,2
10783,P0088,2
10784,P0083,5
10785,P0069,1
10786,P0017,1
10787,P0016,1
10788,P0075,3
10789,P0028,5
10790,P0065,1
10791,P0054,3
10792,P0069,3
10793,P0022,3
10794,P0062,1
10795,P0072,4
10796,P0034,2
10797,P0098,4
10798,P0057,3
10799,P0018,5
10800,P0055,3
10801,P0034,3
10802,P0091,1
10803,P0028,3
10804,P0077,5
10805,P0027,1
10806,P0026,5
10807,P0002,2
10808,P0039,3
10809,P0093,3
10810,P0100,2
10811,P0047,3
10812,P0083,4
10813,P0076,2
10814,P0056,4
10815,P0073,1
10816,P0022,2
10817,P0085,2
10818,P0098,5
10819,P0005,2
10820,P0052,2
10821,P0052,1
10822,P0085,4
10823,P0051,3
10824,P0005,2
10825,P0035,2
10826,P0070,3
10827,P0046,2
10828,P0030,3
10829,P0013,5
10830,P0024,4
10831,P0026,3
10832,P0033,5
10833,P0084,5
10834,P0034,1
10835,P0027,5
10836,P0044,4
10837,P0067,2
10838,P0094,5
10839,P0036,2
10840,P0075,1
10841,P0072,5
10842,P0012,4
10843,P0015,1
10844,P0067,5
10845,P0085,4
10846,P0040,5
10847,P0056,4
10848,P0045,3
10849,P0013,4
10850,P0020,5
10851,P0034,5
10852,P0024,2
10853,P0016,4
10854,P0004,2
10855,P0050,4
10856,P0096,4
10857,P0031,2
10858,P0060,1
10859,P0072,5
10860,P0088,4
10861,P0012,4
10862,P0061,2
10863,P0097,5
10864,P0091,5
10865,P0003,2
10866,P0040,4
10867,P0072,4
10868,P0091,4
10869,P0093,1
10870,P0029,5
10871,P0049,4
10872,P0033,5
10873,P0081,4
10874,P0068,5
10875,P0013,3
10876,P0011,3
10877,P0089,1
10878,P0053,1
10879,P0094,3
10880,P0044,3
10881,P0075,3
10882,P0045,1
10883,P0047,4
10884,P0095,2
10885,P0071,5
10886,P0081,4
10887,P0091,2
10888,P0048,5
10889,P0074,1
10890,P0034,1
10891,P0022,1
10892,P0010,4
10893,P0080,5
10894,P0032,2
10895,P0064,2
10896,P0074,2
10897,P0097,4
10898,P0026,3
10899,P0014,2
10900,P0027,4
10901,P0098,5
10902,P0053,2
10903,P0025,3
10904,P0089,3
10905,P0051,4
10906,P0044,2
10907,P0074,1
10908,P0064,3
10909,P0023,5
10910,P0063,3
10911,P0052,1
10912,P0060,3
10913,P0055,4
10914,P0067,4
10915,P0064,1
10916,P0061,1
10917,P0063,4
10918,P0047,4
10919,P0073,3
10920,P0027,2
10921,P0047,5
10922,P0072,5
10923,P0055,4
10924,P0010,2
10925,P0027,3
10926,P0100,3
10927,P0040,5
10928,P0012,1
10929,P0063,5
10930,P0033,5
10931,P0077,4
10932,P0010,1
10933,P0075,5
10934,P0045,5
10935,P0029,3
10936,P0100,1
10937,P0072,4
10938,P0004,3
10939,P0071,3
10940,P0084,2
10941,P0070,5
10942,P0039,1
10943,P0023,3
10944,P0056,2
10945,P0063,4
10946,P0017,3
10947,P0025,5
10948,P0026,4
10949,P0078,2
10950,P0078,4
10951,P0002,5
10952,P0087,2
10953,P0063,5
10954,P0052,3
10955,P0015,1
10956,P0047,4
10957,P0004,1
10958,P0005,3
10959,P0013,1
10960,P0010,2
10961,P0011,1
10962,P0029,4
10963,P0079,5
10964,P0014,4
10965,P0043,4
10966,P0040,2
10967,P0068,1
10968,P0001,2
10969,P0040,5
10970,P0037,1
10971,P0024,3
10972,P0096,4
10973,P0026,5
10974,P0053,2
10975,P0033,5
10976,P0064,4
10977,P0080,1
10978,P0021,2
10979,P0098,4
10980,P0010,5
10981,P0034,3
10982,P0075,2
10983,P0078,4
10984,P0002,5
10985,P0012,5
10986,P0001,2
10987,P0093,1
10988,P0068,3
10989,P0051,5
10990,P0013,2
10991,P0050,3
10992,P0100,1
10993,P0033,2
10994,P0059,4
10995,P0091,1
10996,P0078,4
10997,P0003,2
10998,P0040,1
10999,P0081,4
11000,P0085,2
11001,P0078,5
11002,P0074,1
11003,P0012,5
11004,P0044,3
11005,P0062,5
11006,P0029,2
11007,P0068,1
11008,P0085,4
11009,P0004,5
11010,P0049,3
11011,P0059,5
11012,P0079,2
11013,P0074,4
11014,P0049,5
11015,P0060,1
11016,P0086,4
11017,P0030,4
11018,P0050,2
11019,P0058,2
11020,P0024,5
11021,P0005,4
11022,P0075,4
11023,P0087,3
11024,P0051,4
11025,P0016,1
11026,P0006,4
11027,P0024,4
11028,P0098,4
11029,P0025,3
11030,P0059,3
11031,P0024,5
11032,P0056,3
11033,P0040,4
11034,P0029,2
11035,P0087,3
11036,P0023,3
11037,P0008,1
11038,P0047,1
11039,P0066,3
11040,P0050,4
11041,P0073,4
11042,P0073,2
11043,P0057,3
11044,P0021,1
11045,P0035,3
11046,P0047,1
11047,P0080,2
11048,P0061,3
11049,P0014,5
11050,P0086,5
11051,P0097,5
11052,P0083,5
11053,P0047,1
11054,P0047,1
11055,P0088,5
11056,P0057,3
11057,P0080,3
11058,P0026,5
11059,P0021,4
11060,P0099,2
11061,P0063,2
11062,P0060,3
11063,P0001,4
11064,P0016,5
11065,P0015,3
11066,P0088,3
11067,P0043,4
11068,P0040,2
11069,P0087,1
11070,P0080,5
11071,P0013,1
11072,P0060,2
11073,P0087,3
11074,P0064,1
11075,P0027,1
11076,P0081,3
11077,P0024,1
11078,P0094,3
11079,P0053,1
11080,P0001,4
11081,P0076,3
11082,P0055,5
11083,P0066,2
11084,P0044,1
11085,P0053,4
11086,P0066,4
11087,P0071,1
11088,P0089,5
11089,P0069,1
11090,P0083,4
11091,P0088,1
11092,P0071,1
11093,P0054,3
11094,P0097,3
11095,P0009,4
11096,P0005,4
11097,P0097,1
11098,P0068,2
11099,P0044,3
11100,P0087,1
11101,P0078,3
11102,P0061,4
11103,P0026,3
11104,P0045,1
11105,P0065,1
11106,P0049,1
11107,P0062,3
11108,P0076,3
11109,P0038,5
11110,P0028,3
11111,P0090,1
11112,P0025,5
11113,P0053,5
11114,P0036,2
11115,P0035,2
11116,P0064,4
11117,P0007,1
11118,P0022,4
11119,P0049,5
11120,P0026,5
11121,P0020,1
11122,P0063,4
11123,P0051,3
11124,P0064,5
11125,P0085,3
11126,P0055,5
11127,P0098,2
11128,P0045,3
11129,P0077,4
11130,P0051,3
11131,P0034,5
11132,P0095,1
11133,P0043,2
11134,P0067,4
11135,P0057,2
11136,P0084,5
11137,P0095,2
11138,P0050,4
11139,P0050,3
11140,P0080,4
11141,P0034,2
11142,P0075,2
11143,P0082,3
11144,P0034,3
11145,P0057,3
11146,P0096,5
11147,P0011,1
11148,P0045,4
11149,P0046,1
11150,P0081,5
11151,P0095,2
11152,P0031,2
11153,P0036,3
11154,P0057,1
11155,P0033,3
11156,P0041,2
11157,P0083,3
11158,P0005,3
11159,P0092,5
11160,P0082,4
11161,P0017,4
11162,P0033,2
11163,P0004,5
11164,P0100,1
11165,P0047,1
11166,P0031,1
11167,P0057,3
11168,P0064,3
11169,P0022,2
11170,P0077,5
11171,P0083,5
11172,P0001,1
11173,P0072,3
11174,P0093,5
11175,P0035,5
11176,P0087,4
11177,P0096,4
11178,P0068,2
11179,P0079,3
11180,P0051,1
11181,P0041,3
11182,P0030,1
11183,P0083,5
11184,P0080,4
11185,P0034,1
11186,P0043,4
11187,P0004,1
11188,P0031,5
11189,P0057,5
11190,P0045,5
11191,P0036,4
11192,P0071,2
11193,P0005,1
11194,P0099,4
11195,P0062,1
11196,P0068,5
11197,P0001,5
11198,P0048,1
11199,P0030,4
11200,P0069,4
11201,P0028,5
11202,P0026,5
11203,P0094,1
11204,P0069,2
11205,P0048,1
11206,P0052,2
11207,P0075,5
11208,P0025,3
11209,P0024,4
11210,P0093,5
11211,P0078,1
11212,P0016,2
11213,P0032,5
11214,P0053,1
11215,P0077,3
11216,P0049,1
11217,P0039,1
11218,P0095,4
11219,P0068,3
11220,P0006,3
11221,P0090,3
11222,P0036,4
11223,P0100,4
11224,P0004,2
11225,P0061,3
11226,P0029,4
11227,P0059,2
11228,P0027,1
11229,P0008,2
11230,P0036,3
11231,P0012,2
11232,P0046,4
11233,P0001,1
11234,P0093,2
11235,P0050,4
11236,P0028,4
11237,P0023,5
11238,P0091,5
11239,P0033,4
11240,P0004,4
11241,P0041,2
11242,P0014,2
11243,P0006,5
11244,P0095,3
11245,P0019,4
11246,P0053,5
11247,P0047,3
11248,P0067,4
11249,P0030,3
11250,P0069,3
11251,P0058,1
11252,P0081,5
11253,P0075,1
11254,P0056,5
11255,P0027,5
11256,P0026,5
11257,P0038,4
11258,P0051,1
11259,P0060,4
11260,P0036,2
11261,P0083,2
11262,P0055,1
11263,P0035,3
11264,P0089,4
11265,P0051,1
11266,P0056,4
11267,P0096,1
11268,P0005,3
11269,P0032,2
11270,P0028,4
11271,P0018,1
11272,P0063,3
11273,P0026,3
11274,P0074,4
11275,P0080,1
11276,P0061,4
11277,P0034,3
11278,P0015,1
11279,P0043,3
11280,P0077,3
11281,P0019,1
11282,P0007,3
11283,P0091,2
11284,P0098,4
11285,P0074,3
11286,P0037,3
11287,P0009,3
11288,P0007,5
11289,P0012,2
11290,P0003,5
11291,P0023,4
11292,P0081,5
11293,P0063,3
11294,P0056,3
11295,P0006,3
11296,P0062,1
11297,P0069,5
11298,P0015,1
11299,P0088,2
11300,P0077,4
11301,P0042,5
11302,P0015,1
11303,P0051,3
11304,P0039,5
11305,P0067,5
11306,P0034,4
11307,P0076,4
11308,P0060,2
11309,P0061,1
11310,P0073,5
11311,P0082,2
11312,P0061,5
11313,P0026,2
11314,P0067,4
11315,P0026,2
11316,P0031,5
11317,P0003,4
11318,P0055,3
11319,P0012,2
11320,P0034,3
11321,P0033,2
11322,P0028,4
11323,P0042,4
11324,P0058,1
11325,P0084,4
11326,P0048,3
11327,P0035,1
11328,P0091,3
11329,P0061,4
11330,P0068,3
11331,P0076,3
11332,P0027,1
11333,P0044,2
11334,P0003,4
11335,P0045,1
11336,P0086,2
11337,P0097,3
11338,P0099,2
11339,P0083,3
11340,P0088,2
11341,P0024,3
11342,P0053,3
11343,P0005,3
11344,P0024,4
11345,P0098,1
11346,P0060,5
11347,P0004,2
11348,P0093,2
11349,P0052,4
11350,P0068,2
11351,P0061,1
11352,P0043,2
11353,P0056,5
11354,P0097,3
11355,P0061,1
11356,P0008,3
11357,P0062,3
11358,P0011,1
11359,P0082,1
11360,P0090,5
11361,P0070,3
11362,P0088,3
11363,P0016,2
11364,P0021,3
11365,P0077,2
11366,P0024,4
11367,P0031,3
11368,P0093,1
11369,P0052,3
11370,P0013,4
11371,P0028,5
11372,P0073,5
11373,P0015,1
11374,P0017,5
11375,P0025,3
11376,P0063,5
11377,P0060,2
11378,P0033,1
11379,P0047,4
11380,P0077,2
11381,P0083,4
11382,P0076,1
11383,P0067,2
11384,P0039,4
11385,P0087,2
11386,P0014,2
11387,P0090,3
11388,P0095,1
11389,P0027,2
11390,P0032,5
11391,P0064,2
11392,P0053,4
11393,P0065,5
11394,P0058,1
11395,P0002,2
11396,P0043,2
11397,P0089,4
11398,P0065,4
11399,P0100,2
11400,P0002,4
11401,P0063,2
11402,P0075,2
11403,P0009,2
11404,P0098,4
11405,P0006,2
11406,P0081,4
11407,P0097,4
11408,P0052,4
11409,P0083,4
11410,P0047,3
11411,P0016,4
11412,P0004,5
11413,P0055,3
11414,P0035,5
11415,P0006,5
11416,P0064,1
11417,P0005,5
11418,P0059,3
11419,P0068,4
11420,P0027,5
11421,P0098,4
11422,P0069,4
11423,P0088,3
11424,P0083,5
11425,P0039,2
11426,P0057,5
11427,P0068,3
11428,P0094,3
11429,P0035,5
11430,P0066,5
11431,P0026,2
11432,P0002,1
11433,P0030,2
11434,P0033,4
11435,P0067,4
11436,P0099,3
11437,P0045,4
11438,P0060,2
11439,P0028,4
11440,P0056,4
11441,P0043,5
11442,P0085,3
11443,P0037,5
11444,P0089,1
11445,P0087,3
11446,P0001,2
11447,P0038,4
11448,P0034,4
11449,P0080,4
11450,P0017,5
11451,P0062,2
11452,P0024,2
11453,P0066,1
11454,P0008,2
11455,P0079,1
11456,P0002,4
11457,P0025,1
11458,P0016,2
11459,P0058,1
11460,P0071,4
11461,P0065,4
11462,P0032,5
11463,P0085,1
11464,P0050,3
11465,P0033,2
11466,P0032,3
11467,P0095,1
11468,P0011,2
11469,P0055,5
11470,P0064,5
11471,P0096,2
11472,P0067,2
11473,P0042,2
11474,P0096,1
11475,P0080,3
11476,P0065,1
11477,P0035,5
11478,P0034,1
11479,P0035,1
11480,P0006,4
11481,P0071,4
11482,P0072,3
11483,P0085,5
11484,P0074,1
11485,P0041,2
11486,P0096,2
11487,P0076,4
11488,P0028,2
11489,P0004,5
11490,P0026,1
11491,P0024,1
11492,P0081,5
11493,P0005,2
11494,P0060,5
11495,P0081,5
11496,P0048,5
11497,P0056,3
11498,P0001,2
11499,P0092,1
11500,P0044,1
11501,P0020,3
11502,P0055,3
11503,P0080,2
11504,P0080,5
11505,P0100,4
11506,P0007,5
11507,P0016,1
11508,P0096,3
11509,P0047,4
11510,P0021,2
11511,P0027,3
11512,P0084,1
11513,P0005,3
11514,P0017,5
11515,P0078,1
11516,P0077,1
11517,P0085,4
11518,P0080,4
11519,P0052,1
11520,P0049,5
11521,P0026,4
11522,P0029,2
11523,P0003,2
11524,P0077,4
11525,P0022,3
11526,P0032,1
11527,P0046,3
11528,P0052,4
11529,P0046,1
11530,P0034,2
11531,P0001,4
11532,P0032,2
11533,P0004,2
11534,P0057,3
11535,P0077,4
11536,P0083,5
11537,P0076,5
11538,P0016,2
11539,P0046,2
11540,P0036,3
11541,P0008,1
11542,P0024,5
11543,P0088,2
11544,P0060,4
11545,P0027,1
11546,P0021,2
11547,P0004,3
11548,P0016,1
11549,P0019,4
11550,P0081,2
11551,P0078,1
11552,P0046,1
