OrderID,CustomerID,OrderDate,PaymentMethod,Device
10067,C0184,2024-03-10,Credit Card,Desktop
10068,C0405,2024-06-13,Net Banking,Desktop
10069,C0404,2024-04-12,Credit Card,Desktop
10070,C0122,2024-04-01,Net Banking,Mobile
10071,C0302,2024-05-01,Debit Card,Desktop
10072,C0166,2024-06-19,Credit Card,Desktop
10073,C0009,2024-06-03,Credit Card,Mobile
10074,C0090,2024-04-13,PayPal,Desktop
10075,C0136,2024-05-04,Credit Card,Mobile
10076,C0027,2024-05-10,Net Banking,Mobile
10077,C0065,2024-03-12,Net Banking,Desktop
10078,C0380,2024-02-07,Debit Card,Mobile
10079,C0216,2024-04-26,PayPal,Desktop
10080,C0270,2024-01-28,Net Banking,Desktop
10081,C0059,2024-02-01,Credit Card,Desktop
10082,C0382,2024-03-05,Debit Card,Mobile
10083,C0033,2024-05-05,Debit Card,Mobile
10084,C0244,2024-05-07,Net Banking,Desktop
10085,C0230,2024-02-29,PayPal,Desktop
10086,C0399,2024-06-09,Net Banking,Tablet
10087,C0186,2024-02-04,Credit Card,Desktop
10088,C0263,2024-01-08,Credit Card,Desktop
10089,C0304,2024-01-26,PayPal,Desktop
10090,C0056,2024-01-14,Credit Card,Tablet
10091,C0232,2024-01-18,Net Banking,Desktop
10092,C0258,2024-05-07,Credit Card,Desktop
10093,C0114,2024-06-22,PayPal,Desktop
10094,C0485,2024-01-07,Net Banking,Tablet
10095,C0315,2024-02-15,Debit Card,Desktop
10096,C0023,2024-04-07,Net Banking,Tablet
10097,C0373,2024-06-03,Credit Card,Desktop
10098,C0402,2024-06-22,Debit Card,Tablet
10099,C0466,2024-03-24,Credit Card,Desktop
10100,C0444,2024-02-09,Net Banking,Mobile
10101,C0338,2024-03-18,PayPal,Mobile
10102,C0267,2024-06-08,Net Banking,Desktop
10103,C0155,2024-06-08,Debit Card,Tablet
10104,C0235,2024-01-25,PayPal,Desktop
10105,C0330,2024-01-20,Credit Card,Tablet
10106,C0494,2024-06-18,Debit Card,Desktop
10107,C0016,2024-05-13,Debit Card,Mobile
10108,C0032,2024-05-06,Net Banking,Mobile
10109,C0246,2024-04-29,Credit Card,Desktop
10110,C0434,2024-02-21,PayPal,Desktop
10111,C0206,2024-03-16,Credit Card,Tablet
10112,C0219,2024-06-18,PayPal,Mobile
10113,C0352,2024-05-07,Net Banking,Desktop
10114,C0056,2024-05-05,Net Banking,Mobile
10115,C0252,2024-05-09,PayPal,Desktop
10116,C0365,2024-03-07,Credit Card,Tablet
10117,C0466,2024-05-18,Net Banking,Mobile
10118,C0228,2024-03-28,PayPal,Tablet
10119,C0038,2024-05-18,Net Banking,Desktop
10120,C0461,2024-05-19,Credit Card,Desktop
10121,C0042,2024-01-05,Debit Card,Desktop
10122,C0165,2024-01-09,PayPal,Tablet
10123,C0312,2024-04-20,PayPal,Desktop
10124,C0076,2024-01-31,Debit Card,Mobile
10125,C0034,2024-04-08,Net Banking,Mobile
10126,C0065,2024-04-25,PayPal,Tablet
10127,C0141,2024-03-21,Net Banking,Mobile
10128,C0320,2024-04-06,Credit Card,Desktop
10129,C0325,2024-04-23,Credit Card,Mobile
10130,C0300,2024-04-27,PayPal,Desktop
10131,C0281,2024-01-10,PayPal,Desktop
10132,C0365,2024-01-09,PayPal,Tablet
10133,C0167,2024-02-15,Credit Card,Desktop
10134,C0196,2024-05-22,Net Banking,Mobile
10135,C0306,2024-06-17,Net Banking,Tablet
10136,C0272,2024-03-18,Debit Card,Mobile
10137,C0151,2024-06-29,Net Banking,Tablet
10138,C0233,2024-02-12,Credit Card,Desktop
10139,C0259,2024-05-05,Debit Card,Tablet
10140,C0310,2024-04-20,Credit Card,Mobile
10141,C0221,2024-02-04,Net Banking,Tablet
10142,C0051,2024-03-20,Net Banking,Desktop
10143,C0407,2024-04-09,Credit Card,Tablet
10144,C0360,2024-05-04,Debit Card,Mobile
10145,C0059,2024-01-29,Net Banking,Desktop
10146,C0437,2024-05-25,Net Banking,Tablet
10147,C0336,2024-06-21,Credit Card,Desktop
10148,C0334,2024-05-05,Credit Card,Mobile
10149,C0450,2024-06-17,Credit Card,Mobile
10150,C0394,2024-05-21,Debit Card,Mobile
10151,C0283,2024-06-24,Debit Card,Tablet
10152,C0370,2024-05-18,Net Banking,Mobile
10153,C0444,2024-05-26,Net Banking,Desktop
10154,C0111,2024-04-30,PayPal,Desktop
10155,C0221,2024-05-01,PayPal,Tablet
10156,C0232,2024-05-23,Credit Card,Desktop
10157,C0455,2024-02-10,Credit Card,Mobile
10158,C0117,2024-05-09,PayPal,Mobile
10159,C0212,2024-01-15,Credit Card,Mobile
10160,C0174,2024-04-10,PayPal,Mobile
10161,C0424,2024-03-08,PayPal,Desktop
10162,C0233,2024-05-06,Net Banking,Desktop
10163,C0205,2024-05-31,Debit Card,Desktop
10164,C0213,2024-04-06,Debit Card,Tablet
10165,C0374,2024-06-06,Net Banking,Tablet
10166,C0049,2024-06-22,Credit Card,Tablet
10167,C0161,2024-03-31,PayPal,Tablet
10168,C0219,2024-03-13,Net Banking,Tablet
10169,C0161,2024-03-23,Credit Card,Tablet
10170,C0341,2024-01-16,Credit Card,Mobile
10171,C0131,2024-01-08,PayPal,Desktop
10172,C0192,2024-05-31,PayPal,Desktop
10173,C0489,2024-01-12,PayPal,Desktop
10174,C0079,2024-02-02,Debit Card,Tablet
10175,C0352,2024-04-03,PayPal,Tablet
10176,C0473,2024-03-30,Net Banking,Desktop
10177,C0243,2024-05-29,Credit Card,Mobile
10178,C0035,2024-01-07,Debit Card,Desktop
10179,C0047,2024-06-09,Credit Card,Mobile
10180,C0426,2024-03-28,Credit Card,Tablet
10181,C0044,2024-04-07,Credit Card,Desktop
10182,C0048,2024-01-25,Debit Card,Tablet
10183,C0222,2024-04-19,Credit Card,Tablet
10184,C0050,2024-03-29,Debit Card,Mobile
10185,C0382,2024-04-01,PayPal,Desktop
10186,C0379,2024-04-15,Debit Card,Mobile
10187,C0191,2024-03-30,PayPal,Mobile
10188,C0416,2024-01-15,Net Banking,Mobile
10189,C0067,2024-06-18,PayPal,Tablet
10190,C0285,2024-03-03,PayPal,Tablet
10191,C0031,2024-03-04,Net Banking,Tablet
10192,C0301,2024-03-01,Net Banking,Mobile
10193,C0490,2024-06-14,Net Banking,Mobile
10194,C0288,2024-03-20,PayPal,Desktop
10195,C0288,2024-05-31,Credit Card,Desktop
10196,C0169,2024-01-22,PayPal,Tablet
10197,C0344,2024-06-25,Net Banking,Tablet
10198,C0063,2024-01-17,Credit Card,Mobile
10199,C0211,2024-03-19,PayPal,Mobile
10200,C0182,2024-01-30,PayPal,Mobile
10201,C0448,2024-03-27,PayPal,Desktop
10202,C0341,2024-02-13,Credit Card,Tablet
10203,C0482,2024-01-06,Net Banking,Tablet
10204,C0385,2024-05-17,Credit Card,Mobile
10205,C0217,2024-03-24,PayPal,Tablet
10206,C0445,2024-01-10,PayPal,Mobile
10207,C0469,2024-04-27,Net Banking,Tablet
10208,C0370,2024-06-17,Debit Card,Tablet
10209,C0027,2024-04-18,PayPal,Tablet
10210,C0496,2024-05-25,Debit Card,Desktop
10211,C0148,2024-05-11,Net Banking,Desktop
10212,C0308,2024-04-17,Credit Card,Mobile
10213,C0160,2024-03-09,Net Banking,Tablet
10214,C0181,2024-01-06,Credit Card,Desktop
10215,C0054,2024-06-27,Debit Card,Desktop
10216,C0296,2024-04-30,Net Banking,Desktop
10217,C0260,2024-05-30,Credit Card,Tablet
10218,C0109,2024-01-06,PayPal,Desktop
10219,C0080,2024-03-22,Debit Card,Mobile
10220,C0337,2024-04-06,Net Banking,Desktop
10221,C0247,2024-05-26,Net Banking,Mobile
10222,C0115,2024-04-09,PayPal,Desktop
10223,C0434,2024-03-23,PayPal,Tablet
10224,C0056,2024-05-26,Net Banking,Mobile
10225,C0180,2024-01-26,Net Banking,Tablet
10226,C0433,2024-05-05,PayPal,Mobile
10227,C0285,2024-01-26,PayPal,Tablet
10228,C0189,2024-06-25,Debit Card,Desktop
10229,C0059,2024-06-21,Net Banking,Mobile
10230,C0391,2024-02-22,Credit Card,Mobile
10231,C0143,2024-03-27,Net Banking,Mobile
10232,C0294,2024-05-07,Credit Card,Mobile
10233,C0116,2024-05-08,Net Banking,Mobile
10234,C0414,2024-06-19,Credit Card,Mobile
10235,C0220,2024-03-27,Credit Card,Mobile
10236,C0433,2024-02-12,PayPal,Mobile
10237,C0288,2024-06-06,Credit Card,Tablet
10238,C0499,2024-03-17,Debit Card,Tablet
10239,C0393,2024-04-03,Debit Card,Tablet
10240,C0420,2024-04-21,Net Banking,Desktop
10241,C0319,2024-02-21,Debit Card,Tablet
10242,C0315,2024-05-07,Net Banking,Desktop
10243,C0346,2024-06-11,Debit Card,Mobile
10244,C0330,2024-01-20,Debit Card,Desktop
10245,C0286,2024-05-17,Debit Card,Desktop
10246,C0014,2024-02-24,Debit Card,Tablet
10247,C0312,2024-03-14,Net Banking,Mobile
10248,C0476,2024-03-08,Net Banking,Mobile
10249,C0337,2024-01-13,Net Banking,Mobile
10250,C0425,2024-03-17,PayPal,Desktop
10251,C0356,2024-05-26,Net Banking,Desktop
10252,C0137,2024-04-12,Debit Card,Tablet
10253,C0015,2024-02-27,Credit Card,Tablet
10254,C0093,2024-06-08,Net Banking,Desktop
10255,C0140,2024-01-24,Debit Card,Mobile
10256,C0360,2024-05-28,Credit Card,Tablet
10257,C0391,2024-01-25,Debit Card,Mobile
10258,C0159,2024-05-31,Debit Card,Tablet
10259,C0472,2024-03-27,Debit Card,Tablet
10260,C0174,2024-03-10,Debit Card,Tablet
10261,C0180,2024-01-18,PayPal,Desktop
10262,C0004,2024-05-25,Debit Card,Desktop
10263,C0093,2024-05-15,Debit Card,Tablet
10264,C0446,2024-05-01,PayPal,Tablet
10265,C0074,2024-04-19,PayPal,Tablet
10266,C0290,2024-02-23,Debit Card,Mobile
10267,C0337,2024-03-29,Debit Card,Tablet
10268,C0206,2024-01-20,PayPal,Mobile
10269,C0036,2024-06-15,Debit Card,Desktop
10270,C0073,2024-03-18,Net Banking,Mobile
10271,C0380,2024-05-09,Debit Card,Desktop
10272,C0325,2024-03-17,Debit Card,Tablet
10273,C0498,2024-04-20,Net Banking,Tablet
10274,C0016,2024-06-18,PayPal,Desktop
10275,C0047,2024-05-18,PayPal,Tablet
10276,C0383,2024-03-21,Debit Card,Desktop
10277,C0272,2024-02-21,PayPal,Desktop
10278,C0111,2024-04-16,Debit Card,Tablet
10279,C0193,2024-04-12,Debit Card,Mobile
10280,C0215,2024-03-05,PayPal,Mobile
10281,C0233,2024-06-08,Net Banking,Tablet
10282,C0175,2024-05-11,PayPal,Desktop
10283,C0081,2024-04-26,Credit Card,Desktop
10284,C0190,2024-06-20,Debit Card,Desktop
10285,C0160,2024-05-20,PayPal,Tablet
10286,C0370,2024-02-16,PayPal,Tablet
10287,C0167,2024-01-05,Debit Card,Mobile
10288,C0398,2024-06-09,PayPal,Mobile
10289,C0483,2024-06-29,Net Banking,Mobile
10290,C0291,2024-05-12,Debit Card,Mobile
10291,C0306,2024-02-17,PayPal,Desktop
10292,C0044,2024-05-27,Net Banking,Tablet
10293,C0453,2024-05-07,Net Banking,Desktop
10294,C0027,2024-02-24,Debit Card,Mobile
10295,C0080,2024-06-18,Net Banking,Tablet
10296,C0081,2024-04-29,Debit Card,Mobile
10297,C0387,2024-03-09,PayPal,Desktop
10298,C0317,2024-06-12,Debit Card,Mobile
10299,C0026,2024-05-16,Credit Card,Tablet
10300,C0346,2024-06-06,Debit Card,Mobile
10301,C0042,2024-04-21,Credit Card,Mobile
10302,C0140,2024-05-24,Net Banking,Mobile
10303,C0227,2024-06-09,Net Banking,Desktop
10304,C0339,2024-01-16,Credit Card,Desktop
10305,C0218,2024-05-13,Credit Card,Desktop
10306,C0249,2024-02-21,PayPal,Mobile
10307,C0311,2024-04-03,Debit Card,Desktop
10308,C0227,2024-04-28,Net Banking,Desktop
10309,C0213,2024-02-07,Net Banking,Tablet
10310,C0140,2024-03-02,Debit Card,Tablet
10311,C0111,2024-02-08,Net Banking,Tablet
10312,C0387,2024-06-24,PayPal,Tablet
10313,C0263,2024-03-17,Debit Card,Tablet
10314,C0059,2024-04-21,Credit Card,Mobile
10315,C0177,2024-04-15,Net Banking,Tablet
10316,C0221,2024-03-22,Net Banking,Mobile
10317,C0057,2024-01-17,Credit Card,Mobile
10318,C0146,2024-06-11,Net Banking,Tablet
10319,C0348,2024-02-22,Net Banking,Tablet
10320,C0348,2024-04-15,Net Banking,Tablet
10321,C0304,2024-03-09,Debit Card,Tablet
10322,C0250,2024-03-14,Credit Card,Tablet
10323,C0270,2024-06-14,PayPal,Tablet
10324,C0342,2024-02-11,PayPal,Tablet
10325,C0158,2024-03-06,Credit Card,Mobile
10326,C0024,2024-06-24,Debit Card,Desktop
10327,C0113,2024-06-02,Credit Card,Desktop
10328,C0203,2024-03-01,Credit Card,Tablet
10329,C0307,2024-04-13,Credit Card,Mobile
10330,C0029,2024-03-02,Debit Card,Mobile
10331,C0004,2024-01-30,Credit Card,Desktop
10332,C0105,2024-02-08,Debit Card,Mobile
10333,C0155,2024-02-19,PayPal,Desktop
10334,C0485,2024-01-08,Credit Card,Mobile
10335,C0109,2024-03-03,Net Banking,Mobile
10336,C0393,2024-03-20,PayPal,Desktop
10337,C0071,2024-04-28,Credit Card,Desktop
10338,C0392,2024-05-04,Credit Card,Desktop
10339,C0131,2024-05-23,Credit Card,Tablet
10340,C0149,2024-04-21,Credit Card,Desktop
10341,C0168,2024-04-18,Debit Card,Mobile
10342,C0062,2024-06-14,Debit Card,Tablet
10343,C0004,2024-01-10,Debit Card,Mobile
10344,C0255,2024-02-21,Net Banking,Desktop
10345,C0383,2024-02-10,PayPal,Mobile
10346,C0221,2024-03-10,PayPal,Tablet
10347,C0090,2024-02-04,PayPal,Tablet
10348,C0067,2024-01-08,Debit Card,Tablet
10349,C0195,2024-03-07,Debit Card,Mobile
10350,C0273,2024-03-12,PayPal,Desktop
10351,C0361,2024-06-17,PayPal,Tablet
10352,C0118,2024-05-20,Credit Card,Tablet
10353,C0257,2024-02-15,Debit Card,Mobile
10354,C0287,2024-06-13,PayPal,Desktop
10355,C0427,2024-01-11,PayPal,Desktop
10356,C0343,2024-05-04,Net Banking,Desktop
10357,C0413,2024-01-06,PayPal,Desktop
10358,C0182,2024-01-15,Credit Card,Desktop
10359,C0037,2024-01-22,PayPal,Tablet
10360,C0204,2024-03-21,Credit Card,Mobile
10361,C0442,2024-06-03,Debit Card,Mobile
10362,C0380,2024-03-17,Net Banking,Mobile
10363,C0022,2024-01-17,Credit Card,Tablet
10364,C0224,2024-04-14,Credit Card,Tablet
10365,C0010,2024-04-03,PayPal,Mobile
10366,C0236,2024-06-20,Net Banking,Mobile
10367,C0472,2024-06-17,PayPal,Desktop
10368,C0040,2024-01-24,PayPal,Tablet
10369,C0442,2024-04-11,Net Banking,Desktop
10370,C0161,2024-02-05,PayPal,Desktop
10371,C0295,2024-03-01,PayPal,Desktop
10372,C0220,2024-01-29,PayPal,Desktop
10373,C0294,2024-05-26,Debit Card,Mobile
10374,C0208,2024-05-08,Credit Card,Desktop
10375,C0364,2024-01-31,Credit Card,Desktop
10376,C0328,2024-05-13,PayPal,Tablet
10377,C0214,2024-06-19,Debit Card,Desktop
10378,C0149,2024-05-28,Net Banking,Mobile
10379,C0059,2024-05-14,Net Banking,Mobile
10380,C0208,2024-03-05,Net Banking,Tablet
10381,C0011,2024-05-07,PayPal,Mobile
10382,C0495,2024-01-24,PayPal,Mobile
10383,C0167,2024-03-01,Credit Card,Desktop
10384,C0088,2024-06-02,Credit Card,Tablet
10385,C0411,2024-02-01,Net Banking,Mobile
10386,C0486,2024-03-21,Net Banking,Desktop
10387,C0317,2024-03-25,Net Banking,Tablet
10388,C0236,2024-05-29,PayPal,Tablet
10389,C0426,2024-04-09,Net Banking,Tablet
10390,C0354,2024-03-01,Net Banking,Tablet
10391,C0471,2024-04-18,Credit Card,Tablet
10392,C0186,2024-02-25,Debit Card,Tablet
10393,C0046,2024-02-06,PayPal,Mobile
10394,C0224,2024-01-28,Net Banking,Desktop
10395,C0433,2024-02-14,Net Banking,Tablet
10396,C0055,2024-02-24,Debit Card,Mobile
10397,C0125,2024-03-11,Debit Card,Desktop
10398,C0224,2024-04-22,Credit Card,Mobile
10399,C0302,2024-04-14,Net Banking,Mobile
10400,C0206,2024-03-06,Net Banking,Desktop
10401,C0269,2024-05-30,Net Banking,Tablet
10402,C0041,2024-01-15,PayPal,Desktop
10403,C0203,2024-05-05,Debit Card,Desktop
10404,C0446,2024-05-16,PayPal,Tablet
10405,C0159,2024-04-05,Credit Card,Desktop
10406,C0382,2024-06-28,Net Banking,Mobile
10407,C0174,2024-01-29,PayPal,Mobile
10408,C0114,2024-03-22,Net Banking,Tablet
10409,C0171,2024-05-19,PayPal,Tablet
10410,C0399,2024-04-18,PayPal,Desktop
10411,C0087,2024-05-01,Debit Card,Desktop
10412,C0040,2024-06-23,Debit Card,Desktop
10413,C0262,2024-03-04,Net Banking,Desktop
10414,C0325,2024-03-12,Debit Card,Tablet
10415,C0059,2024-02-07,PayPal,Tablet
10416,C0272,2024-04-02,Debit Card,Tablet
10417,C0262,2024-05-01,PayPal,Tablet
10418,C0100,2024-04-04,Net Banking,Mobile
10419,C0464,2024-03-19,Net Banking,Tablet
10420,C0398,2024-01-06,Credit Card,Mobile
10421,C0179,2024-06-14,PayPal,Mobile
10422,C0180,2024-06-04,Credit Card,Desktop
10423,C0373,2024-01-09,Net Banking,Mobile
10424,C0491,2024-06-18,Credit Card,Desktop
10425,C0420,2024-01-14,Net Banking,Mobile
10426,C0331,2024-06-25,Debit Card,Tablet
10427,C0418,2024-06-20,Debit Card,Desktop
10428,C0076,2024-03-02,Net Banking,Mobile
10429,C0121,2024-03-05,Credit Card,Desktop
10430,C0053,2024-05-21,Net Banking,Tablet
10431,C0075,2024-04-08,Net Banking,Mobile
10432,C0132,2024-03-20,Net Banking,Desktop
10433,C0102,2024-06-12,Net Banking,Mobile
10434,C0089,2024-06-28,Credit Card,Desktop
10435,C0309,2024-04-02,Net Banking,Desktop
10436,C0079,2024-06-24,Debit Card,Tablet
10437,C0390,2024-02-01,Debit Card,Tablet
10438,C0389,2024-05-16,PayPal,Mobile
10439,C0336,2024-03-01,Debit Card,Tablet
10440,C0039,2024-04-23,Debit Card,Desktop
10441,C0091,2024-04-09,Debit Card,Desktop
10442,C0488,2024-01-03,Net Banking,Desktop
10443,C0396,2024-04-10,PayPal,Desktop
10444,C0322,2024-03-06,PayPal,Tablet
10445,C0253,2024-03-18,PayPal,Mobile
10446,C0238,2024-01-24,PayPal,Tablet
10447,C0387,2024-03-01,Credit Card,Desktop
10448,C0289,2024-03-17,Net Banking,Mobile
10449,C0390,2024-02-23,Debit Card,Desktop
10450,C0297,2024-02-11,Credit Card,Mobile
10451,C0230,2024-04-22,PayPal,Mobile
10452,C0349,2024-06-10,Credit Card,Tablet
10453,C0474,2024-03-22,PayPal,Tablet
10454,C0452,2024-06-13,Credit Card,Tablet
10455,C0290,2024-04-14,Credit Card,Tablet
10456,C0330,2024-01-09,Debit Card,Mobile
10457,C0326,2024-03-11,Credit Card,Desktop
10458,C0320,2024-01-21,Debit Card,Mobile
10459,C0166,2024-05-05,Net Banking,Desktop
10460,C0443,2024-04-30,PayPal,Desktop
10461,C0498,2024-04-15,Debit Card,Tablet
10462,C0322,2024-03-26,PayPal,Mobile
10463,C0162,2024-04-18,Net Banking,Mobile
10464,C0078,2024-01-26,Debit Card,Desktop
10465,C0226,2024-02-11,PayPal,Tablet
10466,C0035,2024-06-27,PayPal,Desktop
10467,C0241,2024-03-07,Net Banking,Desktop
10468,C0227,2024-05-09,Debit Card,Tablet
10469,C0324,2024-01-17,PayPal,Mobile
10470,C0156,2024-03-31,Credit Card,Mobile
10471,C0408,2024-04-17,PayPal,Tablet
10472,C0141,2024-06-03,Credit Card,Desktop
10473,C0303,2024-05-20,Credit Card,Tablet
10474,C0029,2024-03-24,PayPal,Desktop
10475,C0181,2024-04-26,Debit Card,Desktop
10476,C0260,2024-06-26,Net Banking,Desktop
10477,C0038,2024-01-08,Net Banking,Tablet
10478,C0159,2024-01-14,PayPal,Desktop
10479,C0237,2024-06-13,PayPal,Tablet
10480,C0232,2024-06-13,Credit Card,Mobile
10481,C0020,2024-02-17,PayPal,Mobile
10482,C0030,2024-06-10,Credit Card,Mobile
10483,C0189,2024-04-23,Credit Card,Mobile
10484,C0426,2024-06-13,Credit Card,Mobile
10485,C0147,2024-02-04,Debit Card,Tablet
10486,C0040,2024-01-01,PayPal,Desktop
10487,C0331,2024-04-12,Credit Card,Mobile
10488,C0443,2024-02-21,Net Banking,Mobile
10489,C0438,2024-06-09,Debit Card,Desktop
10490,C0047,2024-03-19,PayPal,Mobile
10491,C0315,2024-03-21,PayPal,Desktop
10492,C0305,2024-05-27,PayPal,Desktop
10493,C0260,2024-01-22,PayPal,Desktop
10494,C0197,2024-01-29,Credit Card,Tablet
10495,C0237,2024-02-10,Debit Card,Tablet
10496,C0298,2024-03-04,PayPal,Tablet
10497,C0284,2024-05-12,Debit Card,Mobile
10498,C0489,2024-06-15,Credit Card,Desktop
10499,C0406,2024-02-03,Credit Card,Desktop
10500,C0379,2024-06-01,Net Banking,Mobile
10501,C0459,2024-06-24,PayPal,Tablet
10502,C0022,2024-04-15,PayPal,Desktop
10503,C0231,2024-03-22,Credit Card,Tablet
10504,C0466,2024-04-25,Net Banking,Tablet
10505,C0415,2024-05-02,PayPal,Mobile
10506,C0293,2024-02-04,PayPal,Mobile
10507,C0334,2024-03-07,PayPal,Desktop
10508,C0097,2024-02-14,Debit Card,Mobile
10509,C0165,2024-06-24,Debit Card,Tablet
10510,C0310,2024-05-31,Net Banking,Desktop
10511,C0244,2024-03-24,PayPal,Desktop
10512,C0257,2024-03-13,Net Banking,Desktop
10513,C0078,2024-02-20,PayPal,Mobile
10514,C0491,2024-01-22,Credit Card,Mobile
10515,C0032,2024-04-16,PayPal,Mobile
10516,C0231,2024-04-04,PayPal,Tablet
10517,C0053,2024-02-16,Credit Card,Desktop
10518,C0416,2024-04-10,Credit Card,Mobile
10519,C0461,2024-04-06,Net Banking,Mobile
10520,C0429,2024-05-26,PayPal,Tablet
10521,C0176,2024-02-27,Credit Card,Tablet
10522,C0366,2024-01-06,Debit Card,Desktop
10523,C0044,2024-01-06,Net Banking,Mobile
10524,C0259,2024-05-22,Net Banking,Tablet
10525,C0331,2024-06-14,Net Banking,Mobile
10526,C0089,2024-06-05,Net Banking,Tablet
10527,C0021,2024-06-09,Net Banking,Desktop
10528,C0127,2024-02-28,Debit Card,Mobile
10529,C0363,2024-01-23,Net Banking,Tablet
10530,C0225,2024-04-28,Debit Card,Tablet
10531,C0225,2024-02-20,Net Banking,Mobile
10532,C0269,2024-03-08,PayPal,Desktop
10533,C0268,2024-06-28,Net Banking,Desktop
10534,C0313,2024-02-13,PayPal,Desktop
10535,C0082,2024-01-13,Credit Card,Desktop
10536,C0187,2024-04-12,PayPal,Tablet
10537,C0191,2024-06-07,Credit Card,Mobile
10538,C0470,2024-04-19,Debit Card,Mobile
10539,C0145,2024-06-02,Debit Card,Tablet
10540,C0199,2024-03-07,Credit Card,Desktop
10541,C0210,2024-02-08,Net Banking,Mobile
10542,C0397,2024-01-23,Net Banking,Desktop
10543,C0174,2024-04-04,Net Banking,Mobile
10544,C0348,2024-02-13,Debit Card,Tablet
10545,C0307,2024-05-25,Debit Card,Tablet
10546,C0027,2024-01-31,Credit Card,Desktop
10547,C0405,2024-01-04,Debit Card,Tablet
10548,C0324,2024-05-14,Net Banking,Tablet
10549,C0332,2024-04-21,PayPal,Desktop
10550,C0172,2024-04-26,Credit Card,Mobile
10551,C0034,2024-06-21,PayPal,Mobile
10552,C0169,2024-05-06,Net Banking,Tablet
10553,C0049,2024-01-31,PayPal,Mobile
10554,C0286,2024-02-27,Net Banking,Mobile
10555,C0348,2024-02-22,PayPal,Desktop
10556,C0198,2024-02-18,Debit Card,Mobile
10557,C0146,2024-03-09,Net Banking,Mobile
10558,C0130,2024-03-14,PayPal,Mobile
10559,C0371,2024-05-06,PayPal,Mobile
10560,C0437,2024-04-07,Credit Card,Mobile
10561,C0337,2024-02-03,PayPal,Tablet
10562,C0494,2024-04-20,Net Banking,Desktop
10563,C0465,2024-02-22,Debit Card,Mobile
